Sample_id,      Conc,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
80,400,0.64888,0.59665,0.88636,1.5721,1.93994,1.41914,0.33145,0.05928,0.74849,0.58636
81,400,0.64799,0.60036,0.88966,1.57486,1.94316,1.42288,0.33505,0.06239,0.75182,0.59023
82,400,0.64448,0.59598,0.88527,1.5721,1.93994,1.41914,0.33094,0.05905,0.74906,0.587
83,400,0.64536,0.59698,0.88636,1.5721,1.94155,1.41997,0.33169,0.05958,0.74954,0.587
84,400,0.64536,0.59665,0.88636,1.5721,1.94155,1.41956,0.33136,0.05928,0.74967,0.587
85,400,0.64536,0.59665,0.88636,1.5721,1.94155,1.41914,0.33136,0.05913,0.74954,0.587
86,400,0.64536,0.59665,0.88636,1.5721,1.93994,1.41914,0.33117,0.05913,0.74959,0.587
87,400,0.64536,0.59698,0.88636,1.5721,1.94155,1.41914,0.33108,0.05905,0.74959,0.587
88,400,0.64536,0.59698,0.88636,1.5721,1.93994,1.41914,0.33108,0.05897,0.74959,0.587
89,400,0.64536,0.59732,0.88636,1.5721,1.94155,1.41956,0.33136,0.05905,0.74985,0.587
90,400,0.64624,0.59799,0.88636,1.5721,1.94155,1.41956,0.33155,0.05943,0.75011,0.58765
91,400,0.64536,0.59766,0.88636,1.5721,1.94155,1.41956,0.33164,0.05943,0.75024,0.58765
92,400,0.64536,0.59732,0.88636,1.5721,1.94155,1.41956,0.33155,0.05928,0.75011,0.58765
93,400,0.64536,0.59732,0.88636,1.5721,1.94155,1.41956,0.3316,0.05958,0.7502,0.58765
94,400,0.64536,0.59732,0.88636,1.5721,1.94155,1.41956,0.3315,0.05935,0.74998,0.58765
95,400,0.64536,0.59598,0.88636,1.5721,1.94155,1.41956,0.33145,0.05928,0.74985,0.58765
96,400,0.64448,0.59598,0.88527,1.5721,1.93994,1.41914,0.33117,0.05913,0.74963,0.587
97,400,0.64448,0.59564,0.88636,1.5721,1.94155,1.41956,0.33145,0.05943,0.74998,0.587
98,400,0.64448,0.59598,0.88636,1.5721,1.94155,1.41914,0.33145,0.05928,0.74994,0.587
99,400,0.64536,0.59598,0.88636,1.5721,1.94155,1.41956,0.33155,0.0595,0.75002,0.58765
100,500,0.51025,0.43191,0.85779,1.59184,1.92421,1.43044,0.34002,0.05588,0.73012,0.59349
101,500,0.50961,0.42984,0.85779,1.5904,1.92421,1.43001,0.34031,0.05558,0.72895,0.59218
102,500,0.51089,0.43122,0.85779,1.59184,1.92421,1.43044,0.34088,0.05596,0.72966,0.59349
103,500,0.50961,0.43007,0.85779,1.5904,1.92266,1.43001,0.34031,0.05543,0.72904,0.59218
104,500,0.50961,0.43076,0.85779,1.5904,1.92421,1.43001,0.34064,0.05558,0.72925,0.59218
105,500,0.50961,0.42984,0.85779,1.59184,1.92421,1.43044,0.34059,0.05558,0.72937,0.59218
106,500,0.51025,0.43053,0.85779,1.59184,1.92421,1.43086,0.34069,0.05581,0.72954,0.59283
107,500,0.50897,0.42939,0.85676,1.5904,1.92266,1.42959,0.34011,0.05528,0.72883,0.59153
108,500,0.50897,0.42939,0.85779,1.5904,1.92421,1.42959,0.34035,0.05521,0.72937,0.59218
109,500,0.50897,0.42939,0.85779,1.5904,1.92421,1.43044,0.34055,0.05536,0.72966,0.59283
110,500,0.50897,0.42893,0.85676,1.5904,1.92266,1.42959,0.34002,0.05513,0.72891,0.59218
111,500,0.50897,0.42939,0.85676,1.5904,1.92266,1.42959,0.34021,0.05513,0.72925,0.59153
112,500,0.50897,0.42916,0.85779,1.5904,1.92266,1.42959,0.34026,0.05528,0.72908,0.59218
113,500,0.50961,0.42984,0.85779,1.5904,1.92421,1.43044,0.34069,0.05558,0.72937,0.59218
114,500,0.50961,0.43053,0.85779,1.5904,1.92421,1.42959,0.34011,0.05506,0.7295,0.59153
115,500,0.50897,0.42939,0.85779,1.5904,1.92421,1.43001,0.34026,0.05543,0.72941,0.59218
116,500,0.50897,0.42939,0.85676,1.5904,1.92421,1.43001,0.34011,0.05513,0.72921,0.59218
117,500,0.50897,0.42916,0.85779,1.5904,1.92421,1.42959,0.34011,0.05521,0.72921,0.59218
118,500,0.50897,0.42961,0.85779,1.5904,1.92421,1.43001,0.3404,0.05528,0.72929,0.59218
119,500,0.50897,0.42939,0.85779,1.5904,1.92421,1.43001,0.34045,0.05551,0.72954,0.59218
120,600,0.47574,0.40041,0.85881,1.60951,1.92113,1.44421,0.34689,0.05611,0.7295,0.60339
121,600,0.47574,0.40041,0.85984,1.60951,1.92266,1.44421,0.34685,0.05649,0.72895,0.60339
122,600,0.47514,0.39977,0.85984,1.60951,1.92113,1.44377,0.34646,0.05611,0.72804,0.60339
123,600,0.47514,0.39913,0.85984,1.60951,1.92113,1.44377,0.34655,0.05633,0.7275,0.60339
124,600,0.47574,0.39999,0.85984,1.60951,1.92266,1.44465,0.34685,0.05671,0.72704,0.60339
125,600,0.47514,0.39871,0.85984,1.61101,1.92113,1.44377,0.34675,0.05618,0.72609,0.60339
126,600,0.47514,0.39935,0.85984,1.60951,1.92113,1.44377,0.34641,0.05641,0.72551,0.60273
127,600,0.47574,0.39956,0.85984,1.60951,1.92113,1.44421,0.34689,0.05656,0.72534,0.60339
128,600,0.47514,0.39892,0.85984,1.60951,1.92113,1.44421,0.3466,0.05649,0.72451,0.60339
129,600,0.47514,0.39935,0.85984,1.61101,1.92113,1.44421,0.3468,0.05694,0.72402,0.60339
130,600,0.47692,0.40063,0.86087,1.61101,1.92113,1.44465,0.34729,0.05746,0.72414,0.60406
131,600,0.47574,0.39935,0.85984,1.61101,1.92113,1.44421,0.34709,0.05709,0.72348,0.60339
132,600,0.47514,0.39871,0.85984,1.60951,1.92113,1.44377,0.3466,0.05671,0.72237,0.60273
133,600,0.47514,0.39871,0.85984,1.60951,1.92113,1.44377,0.3467,0.05694,0.72196,0.60339
134,600,0.47574,0.39935,0.85984,1.61101,1.92113,1.44377,0.3467,0.05701,0.72147,0.60339
135,600,0.47514,0.39871,0.85984,1.60951,1.92113,1.44334,0.34646,0.05671,0.72073,0.60339
136,600,0.47514,0.39871,0.85984,1.60951,1.92113,1.44377,0.3465,0.05679,0.72049,0.60273
137,600,0.47514,0.39871,0.86087,1.60951,1.92113,1.44377,0.3468,0.05709,0.72016,0.60339
138,600,0.47514,0.39849,0.85984,1.60951,1.92113,1.44334,0.3465,0.05671,0.71946,0.60339
139,600,0.47514,0.39849,0.85984,1.60951,1.92113,1.44334,0.34636,0.05649,0.71885,0.60273
